Categoria,Alimento,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05
Saladas,Salada Pronta,"R$86,18","R$7,29","R$12,29","R$20,19","R$29,39","R$50,69","R$38,20","R$56,29","R$56,00",,
,Alface/Rucula,"R$33,00","R$0,00","R$5,00","R$6,00","R$9,59","R$4,19","R$17,00","R$0,00","R$0,00",,
,Brocolis/Couve flor,"R$46,48","R$14,00","R$33,00","R$22,00","R$22,00","R$0,00","R$14,00","R$0,00","R$0,00",,
,Cenoura/Beterraba,"R$22,69","R$0,00","R$0,00","R$4,69","R$12,60","R$0,00","R$0,00","R$10,50","R$0,00",,
,Tomate,"R$42,46","R$4,00","R$20,00","R$11,50","R$13,50","R$9,50","R$6,50","R$4,00","R$0,00",,
Proteinas,Atum,"R$55,60","R$39,30","R$0,00","R$58,82","R$65,88","R$0,00","R$81,80","R$0,00","R$0,00",,
,Boi,"R$112,20","R$0,00","R$52,80","R$42,90","R$89,03","R$130,00","R$180,00","R$48,00","R$96,00",,
,Frango,"R$250,50","R$146,30","R$201,70","R$188,10","R$170,80","R$176,00","R$157,00","R$114,60","R$117,50",,
,Porco,"R$0,00","R$8,44","R$29,02","R$0,00","R$19,08","R$0,00","R$8,30","R$0,00","R$0,00",,
,Ovos,"R$73,00","R$53,80","R$26,00","R$44,30","R$60,80","R$57,70","R$68,90","R$33,80","R$26,00",,
Carboidratos,Graos,"R$0,00","R$38,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Pao,"R$42,00","R$60,70","R$33,00","R$62,75","R$49,80","R$55,75","R$92,00","R$30,80","R$37,70",,
,Outros,"R$23,89","R$0,00","R$0,00","R$0,00","R$13,15","R$0,00","R$0,00","R$0,00","R$0,00",,
Frutas,Banana,"R$45,71","R$11,05","R$101,58","R$97,94","R$100,55","R$79,43","R$60,18","R$48,77","R$36,13",,
,Maca,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Uva,"R$13,99","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
Laticinios,Leite,"R$61,25","R$54,49","R$48,46","R$48,20","R$56,50","R$33,80","R$41,40","R$34,70","R$28,20",,
,Manteiga,"R$0,00","R$0,00","R$0,00","R$38,40","R$0,00","R$0,00","R$0,00","R$22,80","R$0,00",,
,Queijo,"R$97,49","R$0,00","R$0,00","R$31,55","R$50,23","R$38,68","R$35,04","R$81,16","R$37,65",,
,Requeijao,"R$47,70","R$21,00","R$0,00","R$22,17","R$21,00","R$0,00","R$0,00","R$0,00","R$7,00",,
,Outros,"R$0,00","R$0,00","R$0,00","R$8,65","R$7,00","R$0,00","R$12,00","R$0,00","R$5,60",,
Higiene,Banho,"R$0,00","R$147,00","R$0,00","R$0,00","R$0,00","R$0,00","R$20,00","R$0,00","R$0,00",,
,Bucal,"R$0,00","R$0,00","R$40,00","R$0,00","R$0,00","R$37,80","R$0,00","R$22,00","R$0,00",,
,Limpeza,"R$0,00","R$12,40","R$0,00","R$33,00","R$6,50","R$12,05","R$21,85","R$0,00","R$0,00",,
,Papel,"R$100,00","R$100,00","R$100,00","R$100,00","R$100,00","R$100,00","R$100,00","R$100,00","R$100,00",,
,Pos Banho,"R$0,00","R$7,00","R$0,00","R$62,40","R$0,00","R$0,00","R$11,80","R$0,00","R$0,00",,
,Outros,"R$0,00","R$15,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
Itens,Banho,"R$0,00","R$0,00","R$12,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Cama,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Cozinha,"R$0,00","R$0,00","R$7,50","R$4,00","R$0,00","R$3,75","R$0,00","R$0,00","R$0,00",,
,Limpeza,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$7,50","R$0,00","R$0,00",,
Outros,Agua,"R$69,00","R$24,40","R$46,00","R$50,00","R$53,00","R$46,00","R$48,00","R$48,00","R$24,00",,
,Azeite,"R$42,90","R$54,00","R$0,00","R$0,00","R$0,00","R$0,00","R$37,00","R$0,00","R$36,00",,
,Geleia/Doce de leite,"R$14,90","R$43,50","R$0,00","R$37,70","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Junk,"R$106,38","R$175,41","R$264,24","R$318,26","R$383,74","R$181,08","R$161,22","R$174,53","R$143,36",,
,Refrigerante/Suco,"R$20,39","R$16,77","R$6,57","R$0,00","R$7,89","R$0,00","R$0,00","R$0,00","R$0,00",,
,Suplementos,"R$244,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$350,00","R$0,00","R$0,00",,
,Temperos/Molhos,"R$35,00","R$0,00","R$0,00","R$18,78","R$0,00","R$19,00","R$13,55","R$0,00","R$0,00",,
Total,,"R$1.686,71","R$1.053,85","R$1.039,16","R$1.332,30","R$1.342,03","R$1.035,42","R$1.583,24","R$829,95","R$751,14","R$0,00","R$0,00"